run,step,side,T,J,seed,e_per_spin,m_per_spin,window,e_roll_avg,m_roll_avg,w_samples
1,176,10,1.5,1.0,11,-0.224,0.002,200,-0.0855909090909,0.008875,176
1,177,10,1.5,1.0,11,-0.232,0.0,200,-0.086418079096,0.00882485875706,177
1,178,10,1.5,1.0,11,-0.236,0.002,200,-0.0872584269663,0.00878651685393,178
1,179,10,1.5,1.0,11,-0.236,0.0,200,-0.0880893854749,0.0087374301676,179
1,180,10,1.5,1.0,11,-0.236,0.0,200,-0.0889111111111,0.00868888888889,180
1,181,10,1.5,1.0,11,-0.236,0.0,200,-0.0897237569061,0.0086408839779,181
1,182,10,1.5,1.0,11,-0.236,-0.002,200,-0.0905274725275,0.00858241758242,182
1,183,10,1.5,1.0,11,-0.24,0.0,200,-0.0913442622951,0.00853551912568,183
1,184,10,1.5,1.0,11,-0.24,0.0,200,-0.092152173913,0.00848913043478,184
1,185,10,1.5,1.0,11,-0.244,0.002,200,-0.092972972973,0.00845405405405,185
1,186,10,1.5,1.0,11,-0.248,0.004,200,-0.0938064516129,0.00843010752688,186
1,187,10,1.5,1.0,11,-0.248,0.004,200,-0.0946310160428,0.0084064171123,187
1,188,10,1.5,1.0,11,-0.248,0.004,200,-0.0954468085106,0.0083829787234,188
1,189,10,1.5,1.0,11,-0.248,0.006,200,-0.096253968254,0.00837037037037,189
1,190,10,1.5,1.0,11,-0.248,0.004,200,-0.0970526315789,0.00834736842105,190
1,191,10,1.5,1.0,11,-0.248,0.002,200,-0.0978429319372,0.00831413612565,191
1,192,10,1.5,1.0,11,-0.248,0.002,200,-0.098625,0.00828125,192
1,193,10,1.5,1.0,11,-0.248,0.002,200,-0.0993989637306,0.00824870466321,193
1,194,10,1.5,1.0,11,-0.248,0.002,200,-0.100164948454,0.00821649484536,194
1,195,10,1.5,1.0,11,-0.248,0.002,200,-0.100923076923,0.00818461538462,195
1,196,10,1.5,1.0,11,-0.248,0.002,200,-0.101673469388,0.00815306122449,196
1,197,10,1.5,1.0,11,-0.248,0.002,200,-0.102416243655,0.00812182741117,197
1,198,10,1.5,1.0,11,-0.248,0.0,200,-0.103151515152,0.00808080808081,198
1,199,10,1.5,1.0,11,-0.248,0.0,200,-0.103879396985,0.00804020100503,199
1,200,10,1.5,1.0,11,-0.248,-0.002,200,-0.1046,0.00799,200
1,201,10,1.5,1.0,11,-0.248,0.0,200,-0.10596,0.00791,200
1,202,10,1.5,1.0,11,-0.248,0.0,200,-0.10732,0.00784,200
1,203,10,1.5,1.0,11,-0.256,0.002,200,-0.10872,0.00778,200
1,204,10,1.5,1.0,11,-0.256,0.0,200,-0.11012,0.00771,200
1,205,10,1.5,1.0,11,-0.256,-0.002,200,-0.1115,0.00762,200
