run,step,side,T,J,seed,e_per_spin,m_per_spin
1,385,10,1.5,1.0,11,-0.476,-0.004
1,386,10,1.5,1.0,11,-0.476,-0.004
1,387,10,1.5,1.0,11,-0.48,-0.002
1,388,10,1.5,1.0,11,-0.48,-0.002
1,389,10,1.5,1.0,11,-0.484,0.0
1,390,10,1.5,1.0,11,-0.488,0.002
1,391,10,1.5,1.0,11,-0.488,0.002
1,392,10,1.5,1.0,11,-0.496,0.0
1,393,10,1.5,1.0,11,-0.504,0.002
1,394,10,1.5,1.0,11,-0.504,0.004
1,395,10,1.5,1.0,11,-0.508,0.006
1,396,10,1.5,1.0,11,-0.508,0.006
1,397,10,1.5,1.0,11,-0.508,0.008
1,398,10,1.5,1.0,11,-0.512,0.01
1,399,10,1.5,1.0,11,-0.512,0.01
1,400,10,1.5,1.0,11,-0.512,0.012
1,401,10,1.5,1.0,11,-0.512,0.01
1,402,10,1.5,1.0,11,-0.512,0.01
1,403,10,1.5,1.0,11,-0.512,0.012
1,404,10,1.5,1.0,11,-0.512,0.012
1,405,10,1.5,1.0,11,-0.512,0.01
1,406,10,1.5,1.0,11,-0.512,0.01
1,407,10,1.5,1.0,11,-0.512,0.01
1,408,10,1.5,1.0,11,-0.512,0.01
1,409,10,1.5,1.0,11,-0.516,0.012
1,410,10,1.5,1.0,11,-0.516,0.012
1,411,10,1.5,1.0,11,-0.516,0.014
1,412,10,1.5,1.0,11,-0.524,0.012
1,413,10,1.5,1.0,11,-0.524,0.014
1,414,10,1.5,1.0,11,-0.524,0.014
1,415,10,1.5,1.0,11,-0.524,0.014
1,416,10,1.5,1.0,11,-0.524,0.014
1,417,10,1.5,1.0,11,-0.524,0.014
1,418,10,1.5,1.0,11,-0.524,0.016
1,419,10,1.5,1.0,11,-0.524,0.018
1,420,10,1.5,1.0,11,-0.524,0.02
1,421,10,1.5,1.0,11,-0.524,0.022
1,422,10,1.5,1.0,11,-0.524,0.022
1,423,10,1.5,1.0,11,-0.524,0.024
1,424,10,1.5,1.0,11,-0.524,0.026
1,425,10,1.5,1.0,11,-0.524,0.026
1,426,10,1.5,1.0,11,-0.536,0.024
1,427,10,1.5,1.0,11,-0.536,0.024
